NC_genome COG Start End Ui
NC_011312 COG3711 137970 139940 24
NC_011312 COG1921 140840 141886 14
NC_011312 COG3964 141927 143063 14
NC_011312 COG3436 147215 147562 4
NC_011312 COG3436 147634 149121 19
NC_011312 COG1595 151287 151856 5
NC_011312 COG0515 151960 153300 19
NC_011312 COG1249 154286 155641 9
NC_011312 COG2961 155854 156693 7
NC_011312 COG0339 156846 158888 20
NC_011312 COG4784 158962 160401 10
NC_011312 COG1965 160523 160837 0
NC_011312 COG0019 161114 162367 12
NC_011312 COG0253 162449 163279 7
NC_011312 COG3159 163276 163977 5
NC_011312 COG4973 163970 164881 10
NC_011312 COG0076 169900 171447 9
NC_011312 COG3486 171464 172792 13
NC_011312 COG4264 172803 175262 17
NC_011312 COG4773 175286 177451 27
NC_011312 COG0614 177570 178520 7
NC_011312 COG0609 178517 179617 13
NC_011312 COG4779 179607 180632 9
NC_011312 COG1120 180647 181453 7
NC_011312 COG3436 181889 182236 5
NC_011312 COG3436 182308 183795 10
NC_011312 COG0513 185316 186620 12
NC_011312 COG3118 186733 187059 0
NC_011312 COG1158 187298 188557 13
NC_011312 COG0043 189820 191661 13
NC_011312 COG0633 191658 191921 3
NC_011312 COG0543 192020 192730 6
NC_011312 COG1368 195363 197342 28
NC_011312 COG0266 197379 198197 8
NC_011312 COG0451 198490 199431 8
NC_011312 COG3307 199602 200828 14
NC_011312 COG0859 200825 201895 12
NC_011312 COG1519 201889 203151 9
NC_011312 COG2826 204352 205308 15
NC_011312 COG0037 205561 206664 10
NC_011312 COG1208 207356 208414 10
NC_011312 COG1045 208430 209074 3
NC_011312 COG2089 209067 210140 9
NC_011312 COG0381 210148 211332 14
NC_011312 COG0399 211370 212515 6
NC_011312 COG1086 212539 213729 16
NC_011312 COG0399 214965 216107 17
NC_011312 COG1215 216890 217729 7
NC_011312 COG1898 217730 218287 11
NC_011312 COG1209 219197 220081 13
NC_011312 COG1088 220081 221172 10
NC_011312 COG3083 221194 223047 14
NC_011312 COG3642 223080 223784 11
NC_011312 COG0859 224160 225230 9
NC_011312 COG0463 225230 226012 6
NC_011312 COG0438 226012 227043 18
NC_011312 COG0669 227036 227524 4
NC_011312 COG1368 227568 229547 25
NC_011312 COG0266 229584 230402 12
NC_011312 COG0267 231313 231480 2
NC_011312 COG0227 231494 231730 1
NC_011312 COG2003 231926 232600 9
NC_011312 COG0452 232816 234036 9
NC_011312 COG1309 234260 234850 10
NC_011312 COG1560 234906 235847 6
NC_011312 COG0782 235883 236350 6
NC_011312 COG2183 236541 238877 25
NC_011312 COG0596 239701 240486 6
NC_011312 COG0642 244329 245636 12
NC_011312 COG0745 245950 246669 9
NC_011312 COG1192 246879 247619 8
NC_011312 COG0461 247781 248290 6
NC_011312 COG0689 248525 249241 8
NC_011312 COG1561 249413 250276 6
NC_011312 COG3223 250359 250787 4
NC_011312 COG0194 250943 251566 4
NC_011312 COG1758 251679 251951 3
NC_011312 COG0317 252018 254147 23
NC_011312 COG3436 254992 256479 18
NC_011312 COG3436 256551 256898 3
NC_011312 COG3071 257294 258475 15
NC_011312 COG2959 258472 259686 7
NC_011312 COG1587 259699 260445 7
NC_011312 COG0181 260447 261382 10
NC_011312 COG3072 261640 264150 18
NC_011312 COG0210 264252 266456 19
NC_011312 COG2962 267419 268336 13
NC_011312 COG0514 268514 270349 20
NC_011312 COG1738 270782 271447 8
NC_011312 COG0749 272158 274962 30
NC_011312 COG0218 275687 276361 6
NC_011312 COG2863 276622 277239 5
NC_011312 COG2227 277381 278025 5
NC_011312 COG3078 278025 278573 6
NC_011312 COG0635 279179 280552 17
NC_011312 COG3436 281080 281427 6
NC_011312 COG3436 281499 282986 12
NC_011312 COG0438 283303 284334 9
NC_011312 COG0463 284334 285116 7
NC_011312 COG0859 285116 286237 16
NC_011312 COG3642 286562 287266 6
NC_011312 COG3083 287299 289152 14
NC_011312 COG1088 289174 290265 15
NC_011312 COG1209 290265 291149 7
NC_011312 COG1898 292059 292616 5
NC_011312 COG1215 292617 293456 10
NC_011312 COG0399 294239 295381 7
NC_011312 COG1086 296617 297807 14
NC_011312 COG0399 297831 298976 9
NC_011312 COG0381 299014 300198 14
NC_011312 COG2089 300206 301279 10
NC_011312 COG1045 301272 301916 7
NC_011312 COG1208 301932 302990 6
NC_011312 COG0037 303682 304785 16
NC_011312 COG2826 305038 305994 5
NC_011312 COG1519 307195 308457 14
NC_011312 COG0859 308451 309521 13
NC_011312 COG3307 309518 310744 15
NC_011312 COG0451 310915 311856 8
NC_011312 COG1236 312237 313691 14
NC_011312 COG1309 314332 314976 1
NC_011312 COG4775 315135 316286 11
NC_011312 COG1596 324575 327184 28
NC_011312 COG3765 327417 328394 12
NC_011312 COG3436 329095 329442 3
NC_011312 COG2852 331420 331788 4
NC_011312 COG0149 332081 332851 11
NC_011312 COG3232 333134 333484 3
NC_011312 COG1494 335317 336324 6
NC_011312 COG3074 336692 336934 4
NC_011312 COG3436 337531 337878 4
NC_011312 COG3436 337950 339437 15
NC_011312 COG0684 339695 340192 5
NC_011312 COG1575 340286 341194 8
NC_011312 COG3954 341282 342151 6
NC_011312 COG3089 342253 342495 2
NC_011312 COG0429 342530 343498 7
NC_011312 COG5589 343518 344000 7
NC_011312 COG0488 343984 345915 19
NC_011312 COG2249 346064 346636 6
NC_011312 COG0475 346636 348426 18
NC_011312 COG3529 348447 348641 0
NC_011312 COG1047 348699 349289 8
NC_011312 COG2900 349477 349701 1
NC_011312 COG2319 349698 350714 12
NC_011312 COG0545 350844 351638 10
NC_011312 COG2964 351827 352540 8
NC_011312 COG1553 352537 352929 2
NC_011312 COG2923 352959 353315 0
NC_011312 COG2168 353325 353612 0
NC_011312 COG0048 353778 354152 6
NC_011312 COG0049 354263 354733 7
NC_011312 COG0480 354867 356954 19
NC_011312 COG0050 357073 358257 13
NC_011312 COG3436 359695 360042 7
NC_011312 COG0051 363557 363868 3
NC_011312 COG0087 363881 364510 11
NC_011312 COG0088 364528 365130 3
NC_011312 COG0089 365127 365429 4
NC_011312 COG0090 365445 366269 3
NC_011312 COG0185 366289 366567 1
NC_011312 COG0091 366578 366910 5
NC_011312 COG0092 366930 367628 7
NC_011312 COG0197 367640 368050 1
NC_011312 COG0255 368050 368241 1
NC_011312 COG0186 368241 368495 3
NC_011312 COG0093 368658 369029 5
NC_011312 COG0198 369040 369357 4
NC_011312 COG0094 369385 369924 6
NC_011312 COG0199 369942 370247 3
NC_011312 COG0096 370277 370669 4
NC_011312 COG0097 370682 371215 6
NC_011312 COG0256 371225 371578 5
NC_011312 COG0098 371593 372093 7
NC_011312 COG1841 372099 372278 1
NC_011312 COG0200 372285 372719 6
NC_011312 COG0201 372740 374071 12
NC_011312 COG0099 374362 374718 5
NC_011312 COG0100 374740 375129 7
NC_011312 COG0522 375161 375781 6
NC_011312 COG0202 375805 376794 13
NC_011312 COG0203 376831 377211 3
NC_011312 COG0158 377275 378285 10
NC_011312 COG0773 378499 379860 10
NC_011312 COG0163 379862 380491 5
NC_011312 COG4143 380696 381712 6
NC_011312 COG1178 381775 383397 16
NC_011312 COG3840 383397 384071 4
NC_011312 COG0553 384295 387204 30
NC_011312 COG0564 387207 387941 5
NC_011312 COG0589 388002 388439 4
NC_011312 COG4666 388495 391074 25
NC_011312 COG2358 391308 392282 9
NC_011312 COG1438 394047 394517 5
NC_011312 COG0039 394789 395724 10
NC_011312 COG0142 395817 396788 8
NC_011312 COG0261 397065 397376 3
NC_011312 COG0211 397394 397651 3
NC_011312 COG0536 397929 399107 12
NC_011312 COG2966 399220 399999 10
NC_011312 COG3610 399999 400490 6
NC_011312 COG0262 400556 401077 4
NC_011312 COG0639 401288 402109 11
NC_011312 COG0030 402206 403039 6
NC_011312 COG1995 403036 404025 9
NC_011312 COG0760 404018 405328 16
NC_011312 COG1452 405399 407753 21
NC_011312 COG1076 407960 408811 6
NC_011312 COG0066 409804 410406 1
NC_011312 COG0065 410418 411833 12
NC_011312 COG0473 411849 412940 16
NC_011312 COG0119 413018 414565 12
NC_011312 COG1566 415681 417000 10
NC_011312 COG0841 416997 420101 36
NC_011312 COG3137 420124 421125 12
NC_011312 COG0305 421307 422704 13
NC_011312 COG0787 422726 423802 13
NC_011312 COG4775 423817 425037 11
NC_011312 COG0166 425233 426885 12
NC_011312 COG1406 426981 427475 1
NC_011312 COG0735 427496 427945 9
NC_011312 COG2110 430429 431454 10
NC_011312 COG3415 431804 432226 6
NC_011312 COG3335 432244 432810 7
NC_011312 COG3598 433433 434509 9
NC_011312 COG0582 434540 435601 13
NC_011312 COG4974 435736 436806 15
NC_011312 COG0042 437014 438030 10
NC_011312 COG0369 439340 441181 18
NC_011312 COG0155 441181 442911 25
NC_011312 COG0175 442904 443665 7
NC_011312 COG0545 444332 444952 5
NC_011312 COG3061 445092 445754 5
NC_011312 COG2962 445766 446635 8
NC_011312 COG2153 446635 447087 6
NC_011312 COG0664 447153 447725 7
NC_011312 COG3176 447735 449507 12
NC_011312 COG3350 450040 450465 1
NC_011312 COG0586 452914 453504 8
NC_011312 COG0737 454084 456066 26
NC_011312 COG0175 456434 457342 6
NC_011312 COG2895 457371 458807 19
NC_011312 COG0471 458830 460557 18
NC_011312 COG0529 460572 461204 6
NC_011312 COG3495 462468 462953 6
NC_011312 COG4591 462963 464222 12
NC_011312 COG1136 464216 464905 8
NC_011312 COG4531 464942 465583 6
NC_011312 COG3054 465991 466542 4
NC_011312 COG0225 467069 467719 6
NC_011312 COG0729 467761 469482 11
NC_011312 COG2911 469479 473276 38
NC_011312 COG3436 485043 485390 1
NC_011312 COG3436 485462 486949 13
NC_011312 COG2963 488216 488527 4
NC_011312 COG2801 488524 489393 8
NC_011312 COG0025 489668 490945 8
NC_011312 COG1410 491126 494806 37
NC_011312 COG0075 497687 498796 16
NC_011312 COG3307 498845 500602 21
NC_011312 COG0178 500682 503510 22
NC_011312 COG1210 503682 504551 8
NC_011312 COG0438 505085 506215 11
NC_011312 COG0438 506219 507424 18
NC_011312 COG1215 507421 508419 12
NC_011312 COG2244 509794 510999 13
NC_011312 COG3335 512441 513007 4
NC_011312 COG3415 513025 513447 4
NC_011312 COG1596 514317 514898 6
NC_011312 COG5338 514899 516215 10
NC_011312 COG0629 517928 518479 6
NC_011312 COG3335 519233 519799 6
NC_011312 COG3415 519817 520239 4
NC_011312 COG2200 520546 522531 16
NC_011312 COG3167 524113 524751 8
NC_011312 COG1450 525107 526747 19
NC_011312 COG3267 526758 527606 10
NC_011312 COG3063 527603 528676 11
NC_011312 COG1459 530410 531636 16
NC_011312 COG2165 532170 532739 12
NC_011312 COG2165 532892 533365 7
NC_011312 COG2165 533617 534087 6
NC_011312 COG2165 534214 534828 10
NC_011312 COG2165 534825 535418 6
NC_011312 COG2165 535418 536173 12
NC_011312 COG1077 541014 542057 11
NC_011312 COG1792 542080 542937 8
NC_011312 COG2891 542927 543418 6
NC_011312 COG0424 543428 544003 3
NC_011312 COG1530 544023 545492 20
NC_011312 COG3164 545504 549367 41
NC_011312 COG0388 549469 550233 12
NC_011312 COG0312 550344 551789 18
NC_011312 COG3028 551887 552426 4
NC_011312 COG0312 552536 553879 13
NC_011312 COG2239 553963 555318 24
NC_011312 COG1925 555630 555908 3
NC_011312 COG1660 555911 556765 11
NC_011312 COG1762 556789 557235 3
NC_011312 COG1544 557237 557524 3
NC_011312 COG1508 557544 559013 15
NC_011312 COG1137 559040 559765 5
NC_011312 COG1934 559768 560268 5
NC_011312 COG3117 560249 560812 4
NC_011312 COG1778 560809 561366 6
NC_011312 COG0794 561366 562340 1
NC_011312 COG0530 562544 563512 7
NC_011312 COG1127 563711 564517 10
NC_011312 COG0767 564510 565304 9
NC_011312 COG1463 565307 565801 5
NC_011312 COG2854 565801 566442 9
NC_011312 COG3113 566442 566762 3
NC_011312 COG5007 566762 567019 4
NC_011312 COG0766 567032 568300 15
NC_011312 COG0204 568435 569160 5
NC_011312 COG3436 571115 571462 1
NC_011312 COG0251 572099 572488 4
NC_011312 COG1781 572628 573092 2
NC_011312 COG0540 573106 574035 12
NC_011312 COG0078 574311 575315 12
NC_011312 COG2235 575411 576631 16
NC_011312 COG3076 576784 577200 6
NC_011312 COG0525 578281 581142 20
NC_011312 COG2927 581253 581696 2
NC_011312 COG0260 581790 583298 12
NC_011312 COG0795 583488 584600 15
NC_011312 COG0795 584593 585669 13
NC_011312 COG1714 585746 586222 5
NC_011312 COG0818 586955 587341 2
NC_011312 COG0741 588313 589449 16
NC_011312 COG2924 589560 589832 2
NC_011312 COG1194 589835 590887 9
NC_011312 COG0220 591105 591821 7
NC_011312 COG2066 591928 592848 12
NC_011312 COG0635 592953 594113 12
NC_011312 COG0127 594117 594713 5
NC_011312 COG1872 595227 595478 3
NC_011312 COG0762 595507 596061 3
NC_011312 COG0345 596137 596955 6
NC_011312 COG0325 596942 597709 7
NC_011312 COG2805 597733 598770 13
NC_011312 COG5008 598773 599879 8
NC_011312 COG0816 599983 600408 6
NC_011312 COG1678 600405 600968 3
NC_011312 COG0189 601042 602028 6
NC_011312 COG1385 602012 602743 8
NC_011312 COG2356 602822 603535 8
NC_011312 COG3091 603626 604111 7
NC_011312 COG0192 604227 605381 13
NC_011312 COG0021 605768 607765 16
NC_011312 COG0057 607905 608924 10
NC_011312 COG0126 609091 610254 12
NC_011312 COG0191 610409 611485 14
NC_011312 COG0513 611726 612976 12
NC_011312 COG4123 613065 613769 8
NC_011312 COG1114 614058 615371 14
NC_011312 COG0716 615500 616018 2
NC_011312 COG4974 616155 617057 12
NC_011312 COG1651 617137 617913 10
NC_011312 COG0608 617993 619732 17
NC_011312 COG1190 621111 622616 18
NC_011312 COG2204 623013 624350 12
NC_011312 COG3066 624417 625085 7
NC_011312 COG0494 625679 626191 2
NC_011312 COG3605 626228 628489 28
NC_011312 COG0730 628490 629293 10
NC_011312 COG0682 629304 630155 8
NC_011312 COG0207 630234 631091 10
NC_011312 COG1283 631160 632305 11
NC_011312 COG0583 632642 633583 7
NC_011312 COG0640 633619 633930 3
NC_011312 COG0268 634052 634312 3
NC_011312 COG0728 634534 636093 20
NC_011312 COG0196 636184 637116 9
NC_011312 COG0060 637153 640011 37
NC_011312 COG0597 640011 640526 6
NC_011312 COG1047 640621 641052 4
NC_011312 COG0761 641077 642021 12
NC_011312 COG0289 642091 642900 4
NC_011312 COG0505 643459 644613 16
NC_011312 COG0458 644631 647861 33
NC_011312 COG2027 647963 649372 16
NC_011312 COG3203 649514 650515 9
NC_011312 COG0782 651098 651571 4
NC_011312 COG1534 651666 651962 4
NC_011312 COG0293 652081 652710 3
NC_011312 COG0465 652796 654778 17
NC_011312 COG0294 654843 655676 8
NC_011312 COG1109 655733 657070 7
NC_011312 COG1314 657222 657554 3
NC_011312 COG0779 657962 658417 2
NC_011312 COG0195 658434 659921 12
NC_011312 COG0532 659945 662620 22
NC_011312 COG0858 662734 663141 4
NC_011312 COG0130 663141 664097 9
NC_011312 COG0184 664260 664529 2
NC_011312 COG1185 664832 666988 16
NC_011312 COG4785 667099 668082 13
NC_011312 COG0826 668165 669043 6
NC_011312 COG0826 669053 670054 7
NC_011312 COG5001 670270 672309 14
NC_011312 COG3154 672524 673042 1
NC_011312 COG3153 673032 673535 5
NC_011312 COG3050 674232 674633 2
NC_011312 COG0456 674623 675069 2
NC_011312 COG4108 675187 676767 16
NC_011312 COG0084 676973 677749 2
NC_011312 COG1972 677973 679256 12
NC_011312 COG3385 679393 680700 3
NC_011312 COG4317 681014 681223 2
NC_011312 COG0274 681508 682284 11
NC_011312 COG0213 682400 683731 18
NC_011312 COG1015 683742 684962 11
NC_011312 COG3726 685836 686435 0
NC_011312 COG0560 686566 687534 17
NC_011312 COG1066 690051 691430 15
NC_011312 COG0480 691624 693708 15
NC_011312 COG4628 693819 694052 1
NC_011312 COG0402 694165 695442 9
NC_011312 COG1457 695453 696706 15
NC_011312 COG1022 697136 698812 18
NC_011312 COG0249 699029 701596 30
NC_011312 COG1546 701705 702202 9
NC_011312 COG0468 702343 703386 11
NC_011312 COG0013 703629 706211 23
NC_011312 COG0527 706221 707390 12
NC_011312 COG1551 707472 707672 3
NC_011312 COG3630 709310 709561 4
NC_011312 COG5016 709599 711386 16
NC_011312 COG1883 711398 712528 10
NC_011312 COG1238 712625 713056 4
NC_011312 COG0612 713065 715917 33
NC_011312 COG2918 716044 717609 17
NC_011312 COG4764 717676 718275 6
NC_011312 COG1854 718309 718827 3
NC_011312 COG4536 718895 720166 7
NC_011312 COG4137 720268 721062 9
NC_011312 COG0541 721225 722610 23
NC_011312 COG0228 722830 723120 3
NC_011312 COG0806 723147 723674 3
NC_011312 COG0336 723697 724446 10
NC_011312 COG0335 724487 724840 1
NC_011312 COG0722 725054 726127 9
NC_011312 COG0287 726134 727267 7
NC_011312 COG0739 727315 728328 11
NC_011312 COG0741 730675 732609 24
NC_011312 COG2973 732680 733006 3
NC_011312 COG1986 732975 733496 8
NC_011312 COG0077 733504 734679 10
NC_011312 COG1544 734792 735154 7
NC_011312 COG4105 735514 736281 5
NC_011312 COG0564 736402 737376 9
NC_011312 COG1496 737376 738110 8
NC_011312 COG0542 738205 740790 28
NC_011312 COG4967 746868 747275 1
NC_011312 COG3156 747265 748509 13
NC_011312 COG4966 748509 749141 3
NC_011312 COG4970 749107 749622 8
NC_011312 COG4968 749726 750157 1
NC_011312 COG2059 750194 751345 14
NC_011312 COG2171 752758 753810 9
NC_011312 COG3141 754187 754477 6
NC_011312 COG2941 754689 755327 3
NC_011312 COG0583 755360 756235 8
NC_011312 COG1275 756371 757360 9
NC_011312 COG1330 757441 760824 32
NC_011312 COG1074 761158 764784 31
NC_011312 COG0507 764777 766801 26
NC_011312 COG2704 767012 768346 16
NC_011312 COG0165 768445 769827 16
NC_011312 COG0548 770708 772057 21
NC_011312 COG2821 772764 773864 11
NC_011312 COG1179 773959 774774 5
NC_011312 COG2166 774899 775336 5
NC_011312 COG0520 775361 776578 16
NC_011312 COG0583 776939 777847 9
NC_011312 COG2363 777840 778226 2
NC_011312 COG2933 778223 779314 7
NC_011312 COG0258 779521 780294 4
NC_011312 COG1611 780377 781735 11
NC_011312 COG2199 781864 783426 8
NC_011312 COG1293 783603 785834 22
NC_011312 COG2904 785945 786790 4
NC_011312 COG5595 787551 788324 7
NC_011312 COG1671 788386 788841 2
NC_011312 COG1455 790040 791326 11
NC_011312 COG1440 791444 791749 2
NC_011312 COG2723 791836 793245 14
NC_011312 COG1940 793275 794210 14
NC_011312 COG1447 794221 794544 3
NC_011312 COG1609 794614 795624 7
NC_011312 COG4580 795907 797184 13
NC_011312 COG3098 798705 799025 2
NC_011312 COG0564 799022 799813 7
NC_011312 COG0483 799918 800772 6
NC_011312 COG0565 800930 801658 7
NC_011312 COG1959 801764 802270 4
NC_011312 COG1104 802296 803516 8
NC_011312 COG0822 803550 803927 2
NC_011312 COG0316 804048 804371 4
NC_011312 COG1076 804387 804902 4
NC_011312 COG0443 804938 806791 23
NC_011312 COG0633 806794 807132 1
NC_011312 COG2975 807261 807461 1
NC_011312 COG0260 807699 808985 12
NC_011312 COG0105 809074 809508 2
NC_011312 COG0820 809739 810890 14
NC_011312 COG3063 810887 811648 12
NC_011312 COG1426 811638 812528 12
NC_011312 COG0821 812541 813659 9
NC_011312 COG0124 813694 814968 13
NC_011312 COG2976 814980 815591 5
NC_011312 COG1520 815602 816759 10
NC_011312 COG1160 816940 818442 19
NC_011312 COG2872 818497 819372 7
NC_011312 COG1198 819669 819905 0
NC_011312 COG1570 819907 821241 15
NC_011312 COG0516 821451 822914 24
NC_011312 COG0519 823131 824684 10
NC_011312 COG2978 824963 826522 14
NC_011312 COG2964 826619 827254 5
NC_011312 COG3681 827315 828592 7
NC_011312 COG0251 828610 828999 3
NC_011312 COG0627 831701 832543 8
NC_011312 COG1062 832820 833968 8
NC_011312 COG0583 834157 835029 7
NC_011312 COG0590 835031 835564 2
NC_011312 COG4623 835973 837457 26
NC_011312 COG0046 837821 841750 35
NC_011312 COG1433 841969 842460 3
NC_011312 COG2991 842457 842660 1
NC_011312 COG1342 842678 842953 3
NC_011312 COG0219 843130 843645 3
NC_011312 COG3469 845055 847595 27
NC_011312 COG0782 847796 848317 3
NC_011312 COG3608 848387 849481 10
NC_011312 COG0189 849441 850346 6
NC_011312 COG4067 850346 850786 5
NC_011312 COG0733 851281 852645 16
NC_011312 COG5484 859448 861244 19
NC_011312 COG1434 862454 863467 16
NC_011312 COG3023 864223 864978 9
NC_011312 COG3436 866684 867031 2
NC_011312 COG3436 867103 868590 22
NC_011312 COG0012 870657 871748 16
NC_011312 COG0193 871768 872358 8
NC_011312 COG0462 872539 873537 7
NC_011312 COG1947 873525 874391 6
NC_011312 COG3017 874388 874999 4
NC_011312 COG0373 875199 876455 14
NC_011312 COG0216 876495 877583 10
NC_011312 COG2890 877583 878449 7
NC_011312 COG3094 878453 878833 2
NC_011312 COG2912 878836 879645 10
NC_011312 COG2877 879657 880511 6
NC_011312 COG0007 880601 881428 10
NC_011312 COG2116 881524 882336 13
NC_011312 COG2146 882434 882763 1
NC_011312 COG1251 882766 885342 30
NC_011312 COG0840 885635 887509 21
NC_011312 COG0737 887932 889593 24
NC_011312 COG3019 889989 890423 2
NC_011312 COG2217 890523 893231 27
NC_011312 COG0789 893319 893717 5
NC_011312 COG3118 893742 894596 9
NC_011312 COG0300 894931 895758 17
NC_011312 COG1090 895887 896792 9
NC_011312 COG0622 896899 897480 8
NC_011312 COG3436 898816 899163 2
NC_011312 COG3436 899235 900722 14
NC_011312 COG0326 902909 904807 17
NC_011312 COG0563 905084 905731 10
NC_011312 COG0276 905815 906783 3
NC_011312 COG0544 907133 908431 14
NC_011312 COG0740 908532 909155 3
NC_011312 COG0466 912000 914363 28
NC_011312 COG0776 914503 914799 3
NC_011312 COG0760 915001 916857 25
NC_011312 COG1555 917063 917359 5
NC_011312 COG3104 917450 918805 17
NC_011312 COG0250 919200 919697 3
NC_011312 COG0367 919744 921411 18
NC_011312 COG4651 921693 923276 13
NC_011312 COG1940 923355 924569 12
NC_011312 COG1820 924571 925707 13
NC_011312 COG1263 926109 927599 14
NC_011312 COG0008 927768 929426 14
NC_011312 COG0735 929500 929943 2
NC_011312 COG2050 930125 930589 2
NC_011312 COG0716 930627 931154 4
NC_011312 COG0596 931522 932298 6
NC_011312 COG3057 932392 932934 3
NC_011312 COG0033 932983 934629 19
NC_011312 COG0327 934715 935470 2
NC_011312 COG0372 935590 936879 11
NC_011312 COG2009 937266 937667 7
NC_011312 COG2142 937661 938008 7
NC_011312 COG1053 938005 939774 16
NC_011312 COG0479 939789 940502 6
NC_011312 COG0567 940625 943441 18
NC_011312 COG0508 943461 944672 15
NC_011312 COG0045 944824 945990 7
NC_011312 COG0074 945990 946862 11
NC_011312 COG1108 946963 947748 6
NC_011312 COG1121 947745 948515 6
NC_011312 COG4531 948604 949497 11
NC_011312 COG0739 949494 950834 8
NC_011312 COG0162 952023 953303 10
NC_011312 COG1032 953440 955812 17
NC_011312 COG3069 956160 957527 12
NC_011312 COG0583 958840 959751 15
NC_011312 COG0112 965183 966433 15
NC_011312 COG1284 966748 967356 10
NC_011312 COG3895 967429 967755 1
NC_011312 COG0444 968844 969854 12
NC_011312 COG0747 969878 971758 22
NC_011312 COG4239 971751 972803 7
NC_011312 COG4174 972806 973834 2
NC_011312 COG1292 976947 978521 11
NC_011312 COG2355 978620 979609 9
NC_011312 COG1012 979666 981129 17
NC_011312 COG0251 981216 981599 4
NC_011312 COG0583 981768 982646 8
NC_011312 COG0241 988174 988725 4
NC_011312 COG1135 988979 990013 12
NC_011312 COG2011 990003 990680 12
NC_011312 COG1464 990725 991534 8
NC_011312 COG0257 991596 991733 3
NC_011312 COG0254 991733 991990 4
NC_011312 COG1720 992134 992832 9
NC_011312 COG0442 992979 994694 17
NC_011312 COG2731 994766 995236 3
NC_011312 COG3436 997181 997528 7
NC_011312 COG1737 999132 1000010 12
NC_011312 COG0329 1000299 1001192 11
NC_011312 COG3436 1004225 1004572 4
NC_011312 COG0596 1007807 1008676 9
NC_011312 COG3065 1008683 1009240 3
NC_011312 COG1214 1009618 1010319 5
NC_011312 COG1199 1010327 1012282 21
NC_011312 COG0788 1012702 1013535 10
NC_011312 COG0596 1013608 1014405 6
NC_011312 COG0401 1014975 1015133 1
NC_011312 COG0840 1018025 1020013 24
NC_011312 COG1327 1020181 1020630 3
NC_011312 COG0117 1020632 1021753 11
NC_011312 COG0307 1021757 1022413 7
NC_011312 COG0108 1022450 1023559 14
NC_011312 COG0054 1023709 1024179 6
NC_011312 COG0781 1024179 1024646 6
NC_011312 COG0611 1024736 1025728 11
NC_011312 COG1267 1025731 1026234 4
NC_011312 COG0642 1027355 1029592 18
NC_011312 COG1359 1029953 1030303 5
NC_011312 COG1154 1030373 1032256 14
NC_011312 COG0142 1032279 1033175 7
NC_011312 COG1722 1033168 1033410 0
NC_011312 COG1291 1033690 1034454 12
NC_011312 COG1360 1034469 1035398 8
NC_011312 COG0301 1035565 1037013 12
NC_011312 COG0583 1037075 1037992 11
NC_011312 COG0697 1038067 1039011 12
NC_011312 COG0693 1039081 1039671 6
NC_011312 COG1893 1039668 1040567 9
NC_011312 COG0652 1043240 1043797 5
NC_011312 COG3056 1043800 1044369 4
NC_011312 COG2813 1044383 1045531 13
NC_011312 COG0271 1045625 1045939 1
